#,ts_us,dur_us,stream,kernel_short,kernel_full
22,536435400210.754,9.408,8362,fmha_sm100_mla,fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVPerCta128PagedKvSparseP1MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen
23,536435400219.842,3.969,8362,nvjet_sm100_tst_16x64_64x16_4x1_v_b,nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN
24,536435400224.131,2.4,8362,per_token_group_quant,"void (anonymous namespace)::per_token_group_quant_8bit_kernel<__nv_bfloat16, __nv_fp8_e4m3, true, true>(__nv_bfloat16 const*, __nv_fp8_e4m3*, std::conditional<true, unsigned int, float>::type*, int, int, int, float, float, float, int, int)"
25,536435400226.979,10.433,8362,deep_gemm_fp8,"void deep_gemm::sm100_fp8_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 0u, 6144u, 2048u, 128u, 64u, 128u, 1u, 128u, 128u, 128u, 7u, 128u, 128u, 1u, false, 148u, (deep_gemm::GemmType)0, false, cutlass::bfloat16_t, deep_gemm::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
26,536435400237.572,6.816,8362,allreduce_fusion,"void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, true>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)"
27,536435400244.708,2.497,8362,per_token_group_quant,"void (anonymous namespace)::per_token_group_quant_8bit_kernel<__nv_bfloat16, __nv_fp8_e4m3, true, true>(__nv_bfloat16 const*, __nv_fp8_e4m3*, std::conditional<true, unsigned int, float>::type*, int, int, int, float, float, float, int, int)"
28,536435400247.716,10.401,8362,deep_gemm_fp8,"void deep_gemm::sm100_fp8_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 0u, 512u, 6144u, 128u, 16u, 128u, 1u, 128u, 128u, 32u, 11u, 128u, 128u, 1u, false, 148u, (deep_gemm::GemmType)0, false, cutlass::bfloat16_t, deep_gemm::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
29,536435400258.726,2.464,8362,act_and_mul,"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &(float silu<float>(float const&))>(__nv_bfloat16*, __nv_bfloat16 const*, int)"
30,536435400261.67,2.112,8362,per_token_group_quant,"void (anonymous namespace)::per_token_group_quant_8bit_kernel<__nv_bfloat16, __nv_fp8_e4m3, true, true>(__nv_bfloat16 const*, __nv_fp8_e4m3*, std::conditional<true, unsigned int, float>::type*, int, int, int, float, float, float, int, int)"
31,536435400264.262,4.416,8362,deep_gemm_fp8,"void deep_gemm::sm100_fp8_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 0u, 6144u, 256u, 128u, 64u, 128u, 1u, 128u, 128u, 128u, 7u, 128u, 128u, 1u, false, 148u, (deep_gemm::GemmType)0, false, cutlass::bfloat16_t, deep_gemm::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
32,536435400311.242,1.952,8362,elementwise,"void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char*, 3ul>)"
33,536435400313.258,18.113,8362,allreduce_fusion,"void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, true>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)"
34,536435400331.691,2.464,8362,per_token_group_quant,"void (anonymous namespace)::per_token_group_quant_8bit_kernel<__nv_bfloat16, __nv_fp8_e4m3, true, true>(__nv_bfloat16 const*, __nv_fp8_e4m3*, std::conditional<true, unsigned int, float>::type*, int, int, int, float, float, float, int, int)"
35,536435400334.475,20.994,8362,deep_gemm_fp8,"void deep_gemm::sm100_fp8_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 0u, 2624u, 6144u, 128u, 32u, 128u, 1u, 128u, 128u, 64u, 10u, 128u, 128u, 1u, false, 148u, (deep_gemm::GemmType)0, false, cutlass::bfloat16_t, deep_gemm::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
36,536435400356.205,2.624,8362,RMSNormKernel,"void flashinfer::norm::RMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)"
37,536435400359.373,2.336,8362,per_token_group_quant,"void (anonymous namespace)::per_token_group_quant_8bit_kernel<__nv_bfloat16, __nv_fp8_e4m3, true, true>(__nv_bfloat16 const*, __nv_fp8_e4m3*, std::conditional<true, unsigned int, float>::type*, int, int, int, float, float, float, int, int)"
38,536435400362.189,10.017,8362,deep_gemm_fp8,"void deep_gemm::sm100_fp8_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 0u, 2048u, 2048u, 128u, 16u, 128u, 1u, 128u, 128u, 32u, 11u, 128u, 128u, 1u, false, 148u, (deep_gemm::GemmType)0, false, cutlass::bfloat16_t, deep_gemm::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
